Country,Predicted_Gold_Medals_2028
USA,0.30224061534830177
URS,-0.7417074736066481
GBR,-0.9741199838219313
CHN,-0.9999958454639488
FRA,-1.1652029016636365
GER,-1.183742833022533
ITA,-1.2371377051550196
HUN,-1.4783573687236784
JPN,-1.4830392081143173
AUS,-1.5215931194650074
SWE,-1.6710836607323225
RUS,-1.6959043748343354
GDR,-1.6973374732648732
NED,-2.003590499396869
KOR,-2.0404704499404143
FIN,-2.0874502922203293
ROU,-2.2137570505744852
CUB,-2.2822066249963493
CAN,-2.355247242512858
POL,-2.4339403467888716
NZL,-2.581060522590662
NOR,-2.5812951199010867
SUI,-2.612431634827803
BUL,-2.700271036075207
FRG,-2.717583452298153
DEN,-2.7551781721027346
ESP,-2.7911880677162575
BEL,-2.83023744210957
TCH,-2.8516593942401744
GRE,-2.9392339577342246
EUN,-2.9408004640260605
TUR,-3.009338010204995
BRA,-3.057128519209591
UKR,-3.0836573897426045
KEN,-3.085004823758946
AUT,-3.382760198914025
RSA,-3.45290828834405
JAM,-3.457112716345934
YUG,-3.4912252916088553
ETH,-3.5718307893830414
IRI,-3.574312628763597
ARG,-3.6592236479930893
CZE,-3.6600737112456145
UZB,-3.7538606149611797
KAZ,-3.7553342313996474
ROC,-3.7561147232599295
PRK,-3.972508243080967
CRO,-3.9767349707223003
BLR,-4.103509360973108
IRL,-4.10447698944309
MEX,-4.173357039926615
GEO,-4.176241015033693
THA,-4.334486536696652
EST,-4.4206473645917415
SLO,-4.420693941142039
INA,-4.421820067923492
SVK,-4.4233044601113765
IND,-4.424392365929911
SRB,-4.513970274191182
EGY,-4.516717266422697
AZE,-4.521726961070137
MAR,-4.618516124666667
BAH,-4.623991621899911
ALG,-4.736946286237536
TPE,-4.738049618695809
POR,-4.867225658290469
LTU,-4.868995468447631
UGA,-5.003080262441104
TUN,-5.005956759231079
COL,-5.009120549069355
LAT,-5.1669605215804495
LUX,-5.170414444033301
ISR,-5.171775905628095
DOM,-5.171993347146287
PAK,-5.172825440051509
ECU,-5.172851836791478
HKG,-5.173895271971929
VEN,-5.354293736244324
PHI,-5.35625519541699
CMR,-5.358210514810239
TTO,-5.358498294483066
ZIM,-5.360562812166174
BRN,-5.362169487096479
CHI,-5.362974317844591
ANZ,-5.364035613122529
KOS,-5.364764302318357
NGR,-5.3655666893011364
ARM,-5.576091207542029
URU,-5.578309573902402
FIJ,-5.581963453462658
SCG,-5.583688001985907
MGL,-5.58382339810716
PUR,-5.586536454717007
QAT,-5.589153742275893
UAE,-5.835094895081957
TJK,-5.83515735745816
CRC,-5.838071540014777
CIV,-5.839206456958842
AIN,-5.839530019966716
IOA,-5.839740305934946
BDI,-5.8407151120583825
VIE,-5.840768758332166
PER,-5.840934179125228
HAI,-5.841781093603047
GUA,-5.843036199111826
SYR,-5.843478317564852
PAN,-5.844601042543458
SUR,-5.844714687545367
SGP,-5.844810609934283
DMA,-5.845982363091389
JOR,-5.846547720701798
BER,-5.846555336523167
BOT,-5.846817612516769
MOZ,-5.847847280289873
GRN,-5.8480427582251995
LCA,-5.851750227617067
