Country,Total_Gold_Medals
USA,37
GBR,24
CHN,23
JPN,19
GER,12
FRA,11
KOR,11
NED,10
ITA,9
AUS,8
ROC,6
UZB,6
HUN,6
NZL,5
ESP,5
UKR,5
KEN,4
CAN,4
SUI,3
GEO,3
IRI,3
CUB,3
NOR,3
ROU,3
TPE,2
IRL,2
SWE,2
JAM,2
INA,2
GRE,2
CRO,2
DEN,2
SRB,2
BUL,2
BRN,2
SLO,2
BEL,2
POL,2
HKG,2
KOS,1
SVK,1
LCA,1
ISR,1
MAR,1
PAK,1
THA,1
ALG,1
PRK,1
DOM,1
BRA,1
CHI,1
BAH,1
COL,1
GUA,1
UGA,1
CZE,1
DMA,1
ECU,1
EGY,1
AZE,1
ETH,1
AUT,1
TUN,1
BOT,1
SCG,0
RSA,0
VIE,0
YUG,0
QAT,0
VEN,0
TJK,0
SGP,0
URU,0
UAE,0
SYR,0
TUR,0
TTO,0
PUR,0
TCH,0
SUR,0
JOR,0
POR,0
PHI,0
ARG,0
ARM,0
BDI,0
BER,0
BLR,0
CIV,0
CMR,0
CRC,0
EST,0
EUN,0
FIJ,0
FIN,0
GRN,0
HAI,0
IND,0
IOA,0
ANZ,0
KAZ,0
LAT,0
LTU,0
LUX,0
MEX,0
MGL,0
MOZ,0
NGR,0
PAN,0
PER,0
ZIM,0
