Country,Rounded_Medals
ROC,33
USA,25
CHN,22
GER,19
JPN,12
AUS,8
ITA,8
ROU,7
HUN,7
KOR,7
CUB,5
BUL,4
NED,4
POL,4
CAN,3
TUR,3
KEN,3
EUN,3
NZL,3
UKR,3
TCH,2
IRI,2
ESP,2
ETH,2
FRA,2
GBR,2
CZE,2
JAM,2
KAZ,2
UZB,2
IRL,1
RSA,1
PRK,1
POR,1
LTU,1
SLO,1
MAR,1
MEX,1
ALG,1
NOR,1
GEO,1
THA,1
BLR,1
BAH,1
COL,1
AZE,1
CRO,1
BRA,1
UGA,1
SWE,1
YUG,1
SVK,1
PER,0
VEN,0
PHI,0
PAN,0
URU,0
PAK,0
VIE,0
TUN,0
UAE,0
SUI,0
PUR,0
TTO,0
QAT,0
TPE,0
TJK,0
SYR,0
SCG,0
SGP,0
SRB,0
SUR,0
JOR,0
NGR,0
CHI,0
ECU,0
DOM,0
DMA,0
DEN,0
CRC,0
CMR,0
CIV,0
BRN,0
MOZ,0
BOT,0
BER,0
BEL,0
BDI,0
AUT,0
ARM,0
ARG,0
EGY,0
EST,0
FIJ,0
FIN,0
MGL,0
LUX,0
LCA,0
LAT,0
KOS,0
ANZ,0
ISR,0
IOA,0
IND,0
INA,0
HKG,0
HAI,0
GUA,0
GRN,0
GRE,0
ZIM,0
